Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
204,258.537139893,-150.460205078,17.057184219,303.513885498,-258.853698730,126.431251526,
205,258.479309082,-150.310287476,16.787275314,303.354492188,-258.799102783,126.201988220,
206,258.398864746,-150.195907593,16.521883011,303.209564209,-258.743011475,125.984382629,
207,258.273406982,-150.104843140,16.256933212,303.082733154,-258.679443359,125.781532288,
208,258.156066895,-150.044891357,15.981503487,302.951019287,-258.622894287,125.589744568,
209,258.014892578,-150.010864258,15.705630302,302.828552246,-258.573089600,125.405799866,
210,257.868286133,-149.997924805,15.418867111,302.711944580,-258.521453857,125.224723816,
211,257.699340820,-150.005340576,15.126484871,302.585815430,-258.469573975,125.054695129,
212,257.520446777,-150.030319214,14.829058647,302.488067627,-258.419097900,124.894454956,
213,257.333831787,-150.077957153,14.528550148,302.372619629,-258.362396240,124.740097046,
214,257.167022705,-150.131652832,14.235247612,302.263000488,-258.305541992,124.596443176,
215,256.973937988,-150.189605713,13.943745613,302.159454346,-258.245880127,124.459907532,
216,256.761199951,-150.249801636,13.664194107,302.051300049,-258.178497314,124.326629639,
217,256.558807373,-150.301300049,13.393215179,301.953369141,-258.106750488,124.198150635,
218,256.364196777,-150.345077515,13.126864433,301.861816406,-258.030303955,124.074523926,
219,256.142395020,-150.368270874,12.869213104,301.743133545,-257.949157715,123.951332092,
220,255.945678711,-150.373153687,12.622138023,301.615051270,-257.865539551,123.828475952,
221,255.740432739,-150.344299316,12.394803047,301.490783691,-257.785675049,123.706802368,
222,255.550384521,-150.275772095,12.190525055,301.361328125,-257.709533691,123.582962036,
223,255.368453979,-150.170257568,12.028370857,301.221221924,-257.633575439,123.460578918,
224,255.186981201,-150.023635864,11.892599106,301.088500977,-257.553405762,123.334739685,
225,255.025619507,-149.849838257,11.782815933,300.955230713,-257.473297119,123.202445984,
226,254.844390869,-149.643753052,11.773402214,300.813415527,-257.397369385,123.072288513,
227,254.648742676,-149.411392212,11.782525063,300.688781738,-257.322021484,122.943511963,
228,254.457550049,-149.176925659,11.790557861,300.546234131,-257.243072510,122.825523376,
229,254.296447754,-148.954498291,11.788908958,300.425292969,-257.170196533,122.719192505,
230,254.132629395,-148.753311157,11.785917282,300.307006836,-257.089538574,122.625885010,
231,253.978622437,-148.574234009,11.779993057,300.162597656,-256.997192383,122.544128418,
232,253.833297729,-148.410369873,11.776901245,300.069641113,-256.904724121,122.464927673,
