,time,x
503,2.012,-56.98599243199999
504,2.016,-60.50253295900001
505,2.02,-63.888610839999984
506,2.024,-67.200408936
507,2.028,-70.37413025000001
508,2.032,-73.44430542
509,2.036,-76.344696045
510,2.04,-78.97837829599999
511,2.044,-81.39527893100001
512,2.048,-83.79876708999998
513,2.052,-86.12872314499998
514,2.056,-88.24333191
515,2.06,-90.13475036699998
516,2.064,-92.19618225099998
517,2.068,-94.32151794499998
518,2.072,-96.15322875999999
519,2.076,-97.619384766
520,2.08,-98.74449157800001
521,2.084,-99.519210816
522,2.088,-99.99143981999998
523,2.092,-100.255340577
524,2.096,-100.388473511
525,2.1,-100.373672486
526,2.104,-100.283340455
527,2.108,-100.03239441
528,2.112,-99.60977172899999
529,2.116,-98.940032959
530,2.12,-98.064590455
531,2.124,-97.009857178
532,2.128,-95.76007080099998
533,2.132,-94.41580200199999
534,2.136,-92.903137208
535,2.14,-91.315887452
536,2.144,-89.82257080099998
537,2.148,-88.413574219
538,2.152,-86.991546631
539,2.156,-85.452804566
540,2.16,-83.992431641
541,2.164,-82.378707886
542,2.168,-80.212036133
543,2.172,-77.698074341
544,2.176,-74.88934326199998
545,2.18,-71.818649292
546,2.184,-68.495574952
547,2.188,-64.882736207
548,2.192,-61.076461792
549,2.196,-57.20083618199999
550,2.2,-53.258056640999996
551,2.204,-49.18676757899999
552,2.208,-45.059219361000004
553,2.212,-40.914352417
554,2.216,-36.69143676799999
555,2.22,-32.40339660699999
556,2.224,-28.06213378999999
557,2.228,-23.723144531999992
558,2.232,-19.434524536999987
559,2.236,-15.108703613999978
560,2.24,-10.81976318400001
561,2.244,-6.632476806999989
562,2.248,-2.4279174810000086
563,2.252,1.769287109000004
564,2.256,5.92630004800003
565,2.26,10.026092528999982
566,2.264,14.08615112299998
567,2.268,18.136962890000007
568,2.272,22.098632812000005
569,2.276,26.10140991200001
570,2.28,30.373321533000023
571,2.284,34.363586424999994
572,2.288,37.989044189000026
573,2.292,41.469177246000015
574,2.296,44.85491943300002
575,2.3,47.99874877899998
576,2.304,51.027648924999994
577,2.308,53.89172363199998
578,2.312,56.56002807599998
579,2.316,58.95468139600001
580,2.32,61.16790771400002
581,2.324,63.15847778300002
582,2.328,64.947509765
583,2.332,66.39825439399999
584,2.336,67.60989379800003
585,2.34,68.63092040999999
586,2.344,69.38558959900001
587,2.348,69.979644775
588,2.352,70.27688598600002
589,2.356,70.38583374000001
590,2.36,70.46820068300002
591,2.364,70.52416992100001
592,2.368,70.54598999000001
593,2.372,70.59533691400003
594,2.376,70.59686279200002
595,2.38,70.565673828
596,2.384,70.39849853499999
597,2.388,70.12307739200003
598,2.392,69.695465087
599,2.396,69.094726562
600,2.4,68.26470947199999
601,2.404,67.15682983300002
602,2.408,65.86364745999998
603,2.412,64.33538818300002
604,2.416,62.647705078
605,2.42,60.83895874000001
606,2.424,58.959625243999994
607,2.428,56.98327636700003
608,2.432,54.92901611299999
609,2.436,52.719543456999986
610,2.44,50.39855957000003
611,2.444,47.91857910099998
612,2.448,45.25518798799999
613,2.452,42.44210815399998
614,2.456,39.448394775
615,2.46,36.365875243999994
616,2.464,33.12951660099998
617,2.468,29.700378417000024
618,2.472,26.09069824200003
619,2.476,22.391601562000005
620,2.48,18.539978027000018
621,2.484,14.604278564000026
622,2.488,10.548614501000031
623,2.492,6.430114746000015
624,2.496,2.211822509000001
625,2.5,-2.0591125490000195
626,2.504,-6.402404785999977
627,2.508,-10.852325440000016
628,2.512,-15.478057862000014
629,2.516,-20.23245239299999
630,2.52,-24.88479614299999
631,2.524,-29.361267089999984
632,2.528,-33.71382141199999
633,2.532,-37.955978394
634,2.536,-42.138641358
635,2.54,-46.17967224199998
636,2.544,-50.101043702
637,2.548,-53.935958862999996
638,2.552,-57.626556397
639,2.556,-61.27470398
640,2.56,-64.78330993699998
641,2.564,-68.17932128999999
642,2.568,-71.433181763
643,2.572,-74.498504639
644,2.576,-77.461639405
645,2.58,-80.18008422899999
646,2.584,-82.681564332
647,2.588,-84.934707642
648,2.592,-86.904663086
649,2.596,-88.591033936
650,2.6,-90.14927673399998
651,2.604,-91.515014649
652,2.608,-92.674636841
653,2.612,-93.607879639
654,2.616,-94.30451965399999
655,2.62,-94.976638794
656,2.624,-95.73379516699998
657,2.628,-96.30755615300001
658,2.632,-96.576171875
659,2.636,-96.60916137699999
660,2.64,-96.41230773999999
661,2.644,-95.970428467
662,2.648,-95.32864379899999
663,2.652,-94.487838746
664,2.656,-93.45623779299999
665,2.66,-92.31570434599999
666,2.664,-91.02626037599998
667,2.668,-89.62092590399999
668,2.672,-88.09106445399999
669,2.676,-86.49839782800001
670,2.68,-84.840209961
671,2.684,-83.185714722
672,2.688,-81.52505493199999
673,2.692,-79.765914917
674,2.696,-77.998703003
675,2.7,-76.12026977599999
676,2.704,-74.15699768100001
677,2.708,-72.032928467
678,2.712,-69.76626586999998
679,2.716,-67.36880493199999
680,2.72,-64.92524719299999
681,2.724,-62.459945678999986
682,2.728,-59.717453003
683,2.732,-56.675292969
684,2.736,-53.34747314499998
685,2.74,-49.850234986000004
686,2.744,-46.177307128999985
687,2.748,-42.30305480999999
688,2.752,-38.24887085
689,2.756,-34.04421997099999
690,2.76,-29.672668458000004
691,2.764,-25.20434570399999
692,2.768,-20.668365478999988
693,2.772,-16.05221557699997
694,2.776,-11.434844971000018
695,2.78,-6.800689697999985
696,2.784,-2.144317627000021
697,2.788,2.4933471670000245
698,2.792,7.089202880000016
699,2.796,11.586334227999998
700,2.8,16.007171630000016
701,2.804,20.32125854399999
702,2.808,24.459808349000014
703,2.812,28.56585693300002
704,2.816,32.65988159099999
705,2.82,36.732727049999994
706,2.824,40.362091064000026
707,2.828,43.69268798799999
708,2.832,46.99346923799999
709,2.836,50.10867309500003
710,2.84,53.03857421800001
711,2.844,55.932037353
712,2.848,58.54010009699999
713,2.852,60.99346923799999
714,2.856,63.24331665
715,2.86,65.293945312
716,2.864,67.13211059500003
717,2.868,68.762695312
718,2.872,70.1428833
719,2.876,71.31500244099999
720,2.88,72.256347656
721,2.884,72.96362304600001
722,2.888,73.51239013600002
723,2.892,73.77468872000003
724,2.896,73.839416503
725,2.9,73.73504638600002
726,2.904,73.72274780200001
727,2.908,73.694244384
728,2.912,73.60629272400001
729,2.916,73.51034545800002
730,2.92,73.30709838799999
731,2.924,72.90142822199999
732,2.928,72.39285278300002
733,2.932,71.669677734
734,2.936,70.82406616200001
735,2.94,69.80447387600003
736,2.944,68.67803955
737,2.948,67.41293334900001
738,2.952,65.98812866200001
739,2.956,64.43591308499998
740,2.96,62.842987059999984
741,2.964,61.07775878900003
742,2.968,59.26843261700003
743,2.972,57.38189697199999
744,2.976,55.46426391599999
745,2.98,53.41110229399999
746,2.984,51.22018432599998
747,2.988,48.93023681599999
748,2.992,46.535919189000026
749,2.996,44.029052734000004
750,3.0,41.36474609300001
751,3.004,38.56625366200001
752,3.008,35.67630004800003
753,3.012,32.613922118999994
754,3.016,29.438964843000008
755,3.02,26.180694580000022
756,3.024,22.754364012999986
757,3.028,19.158843993999994
758,3.032,15.482238768999991
759,3.036,11.700134277000018
760,3.04,7.830291747999979
761,3.044,3.8998718259999805
762,3.048,-0.24877929699999868
763,3.052,-4.646179200000006
764,3.056,-9.09375
765,3.06,-13.423400878999985
766,3.064,-17.678070069
767,3.068,-21.86842346199998
768,3.072,-25.971511840999995
769,3.076,-30.039962769
770,3.08,-34.026580811
771,3.084,-37.925689697999985
772,3.088,-41.707077027
773,3.092,-45.376159667999985
774,3.096,-48.974380494
775,3.1,-52.466156006000006
776,3.104,-55.88674926799999
777,3.108,-59.219909667999985
778,3.112,-62.49763488799999
779,3.116,-65.662002564
780,3.12,-68.79689025900001
781,3.124,-71.78602600099998
782,3.128,-74.70686340399999
783,3.132,-77.42469787599998
784,3.136,-79.95921325699999
785,3.14,-82.306243897
786,3.144,-84.39785766699998
787,3.148,-86.21821594299999
788,3.152,-87.686126709
789,3.156,-88.83229065
790,3.16,-89.873107911
791,3.164,-90.837051392
792,3.168,-91.63230895999999
